day	modified_temperature
222	9.629826388187013
223	4.0793374051554965
224	3.61771102194306
225	8.907353170512193
226	10.809494377310681
227	11.065565816179294
228	7.562465753424657
229	2.3627397260273972
230	2.363013698630137
231	2.0632876712328767
232	1.6635616438356164
233	4.263835616438357
234	7.664109589041096
235	5.564383561643836
236	3.9646575342465753
237	6.864931506849315
238	11.265205479452055
239	9.565479452054795
240	2.4657534246575343
241	2.866027397260274
242	2.666301369863014
243	-0.1334246575342466
244	0.06684931506849315
245	3.6671232876712327
246	3.8173972602739727
247	3.9676712328767123
248	3.167945205479452
249	3.4682191780821916
250	5.168493150684931
251	2.1687671232876715
252	0.969041095890411
253	-1.5306849315068494
254	-0.9304109589041096
255	0.6698630136986301
256	0.7701369863013698
257	1.4704109589041094
258	0.2706849315068493
259	0.27095890410958906
260	-1.3287671232876712
261	-1.5284931506849315
262	-3.5282191780821917
263	-3.527945205479452
264	-4.127671232876713
265	-3.8273972602739725
266	-5.327123287671233
267	-5.426849315068493
268	-4.126575342465753
269	-1.6263013698630138
270	-1.726027397260274
271	-3.9257534246575343
272	-3.2254794520547945
273	-5.325205479452055
274	-3.524931506849315
275	-4.124657534246576
276	-0.2243835616438356
277	3.175890410958904
278	0.47616438356164387
279	-2.723561643835616
280	-5.323287671232877
281	-9.823013698630138
282	-11.122739726027396
283	-10.922465753424657
284	-12.022191780821917
285	-6.921917808219178
286	-6.2216438356164385
287	-5.821369863013699
288	-5.321095890410959
289	-6.0208219178082185
290	-11.120547945205479
291	-11.620273972602739
292	-7.52
293	-5.71972602739726
294	-8.319452054794521
295	-8.219178082191782
296	-8.718904109589042
297	-9.618630136986301
298	-4.918356164383562
299	-2.818082191780822
300	-6.417808219178082
301	-7.117534246575342
302	-10.117260273972603
303	-11.816986301369864
304	-15.816712328767125
305	-18.116438356164384
306	-8.816164383561643
307	-2.9158904109589043
308	-2.4156164383561642
309	-3.5153424657534247
310	-4.815068493150685
311	-11.114794520547944
312	-9.614520547945204
313	-8.314246575342466
314	-5.113972602739726
315	-8.113698630136986
316	-11.313424657534247
317	-16.613150684931504
318	-22.51287671232877
319	-25.212602739726027
320	-25.21232876712329
321	-27.112054794520546
322	-28.111780821917808
323	-25.01150684931507
324	-18.811232876712328
325	-20.810958904109587
326	-20.21068493150685
327	-21.610410958904108
328	-18.510136986301372
329	-6.40986301369863
330	-4.00958904109589
331	-8.00931506849315
332	-13.10904109589041
333	-14.00876712328767
334	-15.10849315068493
335	-19.30821917808219
336	-24.107945205479453
337	-29.007671232876714
338	-35.007397260273976
339	-34.107123287671236
340	-35.30684931506849
341	-35.70657534246575
342	-32.60630136986302
343	-28.306027397260273
344	-28.205753424657534
345	-31.005479452054796
346	-30.705205479452054
347	-32.804931506849314
348	-31.004657534246576
349	-27.710768724868796
350	-10.285932960065447
351	-8.471954994082093
352	-10.08869793870665
353	-15.08938452052412
354	-18.65267182949074
355	-18.55872688831475
356	-21.45845291571201
357	-28.451849911682523
358	-30.688014657510422
359	-28.886780130487473
360	-27.469489240657435
361	-18.282919261435307
362	-15.20082191780822
363	-24.600547945205477
364	-22.20027397260274
365	-19.5
366	-13.59972602739726
367	-11.699452054794522
368	-10.799178082191782
369	-8.198904109589042
370	-11.898630136986302
371	-14.298356164383563
372	-15.59808219178082
373	-16.09780821917808
374	-2.9975342465753427
375	-3.4972602739726026
376	-13.096986301369862
377	-25.196712328767124
378	-25.496438356164386
379	-30.196164383561644
380	-28.595890410958905
381	-29.095616438356164
382	-23.695342465753427
383	-19.595068493150684
384	-20.294794520547942
385	-14.994520547945205
386	-12.994246575342466
387	-22.593972602739726
388	-24.693698630136986
389	-27.693424657534248
390	-31.793150684931504
391	-31.19287671232877
392	-27.492602739726028
393	-25.292328767123287
394	-22.092054794520546
395	-22.49178082191781
396	-10.191506849315068
397	-11.491232876712328
398	-10.090958904109588
399	-7.79068493150685
400	-17.09041095890411
401	-27.59013698630137
402	-23.88986301369863
403	-27.489589041095893
404	-29.58931506849315
405	-26.489041095890414
406	-26.188767123287672
407	-25.28849315068493
408	-34.78821917808219
409	-37.487945205479456
410	-35.18767123287671
411	-31.487397260273973
412	-27.787123287671232
413	-12.286849315068494
414	-6.386575342465753
415	-1.1863013698630138
416	-3.086027397260274
417	-9.785753424657536
418	-14.185479452054794
419	-15.685205479452055
420	-12.184931506849315
421	-3.684657534246575
422	-8.184383561643836
423	-2.6841095890410958
424	-3.3838356164383563
425	-7.683561643835616
426	-23.283287671232877
427	-9.883013698630137
428	-3.682739726027397
429	-16.48246575342466
430	-22.282191780821915
431	-14.881917808219178
432	-7.6816438356164385
433	-22.4813698630137
434	-27.48109589041096
435	-27.48082191780822
436	-30.580547945205478
437	-33.780273972602735
438	-34.980000000000004
439	-31.679726027397262
440	-24.17945205479452
441	-14.77917808219178
442	-9.87890410958904
443	-15.678630136986301
444	-18.978356164383563
445	-19.578082191780823
446	-21.57780821917808
447	-22.277534246575343
448	-19.077260273972602
449	-19.776986301369863
450	-12.076712328767123
451	-21.176438356164383
452	-19.776164383561643
453	-20.175890410958903
454	-19.875616438356165
455	-18.875342465753423
456	-18.775068493150684
457	-21.174794520547945
458	-17.174520547945207
459	-17.774246575342463
460	-22.273972602739725
461	-23.273698630136984
462	-19.47342465753425
463	-18.273150684931505
464	-12.272876712328767
465	-13.993526652187255
466	-12.398985584587072
467	-10.868318651622149
468	-11.97438245402679
469	-11.167940446440953
470	-12.109124010018261
471	-15.067392501235476
472	-15.673286563615834
473	-14.766674816005711
474	-13.896793803765155
475	-4.46986301369863
476	3.6304109589041094
477	-4.369315068493151
478	-1.969041095890411
479	0.7312328767123287
480	-0.1684931506849315
481	-2.168219178082192
482	-6.767945205479452
483	-11.067671232876712
484	-10.967397260273973
485	-8.667123287671233
486	-8.966849315068492
487	-7.866575342465754
488	1.5336986301369862
489	1.7339726027397262
490	-6.765753424657534
491	-7.465479452054794
492	-7.065205479452055
493	4.135068493150685
494	6.435342465753425
495	4.035616438356164
496	-1.0641095890410959
497	1.2361643835616438
498	4.536438356164384
499	0.7367123287671232
500	-0.16301369863013698
501	8.837260273972602
502	8.837534246575341
503	11.337808219178081
504	13.83808219178082
505	8.938356164383562
506	9.1386301369863
507	11.438904109589043
508	7.839178082191781
509	5.539452054794521
510	6.93972602739726
511	6.84
512	5.740273972602739
513	8.94054794520548
514	7.240821917808219
515	0.541095890410959
516	3.5413698630136987
517	-0.7583561643835617
518	-0.4580821917808219
519	0.1421917808219178
520	-0.6575342465753425
521	-1.3572602739726027
522	1.5430136986301368
523	3.743287671232877
524	8.043561643835616
525	9.843835616438355
526	8.944109589041096
527	10.944383561643836
528	2.2446575342465755
529	7.144931506849315
530	12.545205479452056
531	16.045479452054796
532	14.345753424657534
533	11.446027397260275
534	14.946301369863015
535	14.046575342465754
536	14.046849315068494
537	19.54712328767123
538	20.447397260273974
539	18.247671232876712
540	18.34794520547945
541	18.548219178082192
542	15.748493150684931
543	15.448767123287672
544	10.049041095890411
545	12.14931506849315
546	17.54958904109589
547	16.84986301369863
548	14.15013698630137
549	15.55041095890411
550	11.350684931506848
551	12.850958904109588
552	15.25123287671233
553	19.35150684931507
554	10.751780821917809
555	5.752054794520547
556	5.652328767123287
557	5.452602739726027
558	4.6528767123287675
559	4.953150684931507
560	6.953424657534247
561	8.353698630136986
562	6.953972602739726
563	11.954246575342466
564	11.654520547945205
565	14.354794520547944
566	10.255068493150684
567	8.755342465753424
568	12.255616438356164
569	9.455890410958904
570	5.856164383561644
571	6.356438356164384
572	7.556712328767124
573	6.456986301369863
574	7.057260273972603
575	5.657534246575342
576	4.657808219178082
577	6.558082191780822
578	12.958356164383563
579	8.558630136986302
580	12.85890410958904
581	13.459178082191782
582	10.209452054794522
583	10.209726027397261
584	10.21
585	10.21027397260274
586	6.960547945205479
587	8.06082191780822
588	2.6610958904109587
589	2.4613698630136986
590	8.061643835616438
591	10.261917808219177
592	10.762191780821917
593	7.662465753424658
594	2.462739726027397
595	2.463013698630137
596	2.163287671232877
597	1.7635616438356165
598	4.363835616438356
599	7.764109589041095
600	5.664383561643835
601	4.064657534246575
602	6.9649315068493145
603	11.365205479452055
604	9.665479452054795
605	2.565753424657534
606	2.966027397260274
607	2.766301369863014
608	-0.03342465753424659
609	0.16684931506849313
610	3.767123287671233
611	3.9173972602739724
612	4.067671232876712
613	3.267945205479452
614	3.5682191780821917
615	5.2684931506849315
616	2.268767123287671
617	1.069041095890411
618	-1.4306849315068495
619	-0.8304109589041095
620	0.7698630136986301
621	0.8701369863013698
622	1.5704109589041095
623	0.37068493150684934
624	0.37095890410958904
625	-1.2287671232876711
626	-1.4284931506849317
627	-3.428219178082192
628	-3.4279452054794524
629	-4.027671232876712
630	-3.7273972602739724
631	-5.227123287671233
632	-5.326849315068493
633	-4.026575342465754
634	-1.5263013698630137
635	-1.6260273972602741
636	-3.825753424657534
637	-3.1254794520547944
638	-5.225205479452055
639	-3.4249315068493154
640	-4.024657534246575
641	-0.12438356164383563
642	3.275890410958904
643	0.5761643835616439
644	-2.6235616438356164
645	-5.223287671232877
646	-9.723013698630137
647	-11.022739726027396
648	-10.822465753424657
649	-11.922191780821917
650	-6.821917808219178
651	-6.121643835616438
652	-5.721369863013699
653	-5.221095890410959
654	-5.920821917808219
655	-11.020547945205479
656	-11.52027397260274
657	-7.42
658	-5.6197260273972605
659	-8.219452054794521
660	-8.119178082191782
661	-8.618904109589042
662	-9.518630136986301
663	-4.8183561643835615
664	-2.7180821917808218
665	-6.317808219178082
666	-7.017534246575343
667	-10.017260273972601
668	-11.716986301369863
669	-15.716712328767123
670	-18.016438356164382
671	-8.716164383561644
672	-2.8158904109589042
673	-2.3156164383561646
674	-3.4153424657534246
675	-4.715068493150685
676	-11.014794520547945
677	-9.514520547945205
678	-8.214246575342466
679	-5.0139726027397264
680	-8.013698630136986
681	-11.213424657534247
682	-16.513150684931507
683	-22.412876712328767
684	-25.11260273972603
685	-25.112328767123287
686	-27.012054794520548
687	-28.011780821917807
688	-24.91150684931507
689	-18.711232876712327
690	-20.71095890410959
691	-20.11068493150685
692	-21.51041095890411
693	-18.41013698630137
694	-6.30986301369863
695	-3.9095890410958902
696	-7.90931506849315
697	-13.00904109589041
698	-13.90876712328767
699	-15.00849315068493
700	-19.20821917808219
701	-24.00794520547945
702	-28.907671232876712
703	-34.907397260273974
704	-34.007123287671234
705	-35.20684931506849
706	-35.60657534246575
707	-32.50630136986302
708	-28.20602739726027
709	-28.105753424657536
710	-30.905479452054795
711	-30.605205479452056
712	-32.70493150684931
713	-30.904657534246578
714	-27.904383561643836
715	-10.704109589041096
716	-9.203835616438356
717	-11.203561643835616
718	-16.603287671232877
719	-20.503013698630138
720	-20.602739726027398
721	-23.50246575342466
722	-30.302191780821918
723	-32.20191780821918
724	-30.001643835616438
725	-28.201369863013696
726	-18.701095890410958
727	-15.10082191780822
728	-24.50054794520548
729	-22.10027397260274
730	-19.400000000000002
